NAME_OF_TOWN,STATE,TYPE,POPULATION
ACHHNERA,UTTAR PRADESH,N.P.,22
ADALAJ,GUJARAT,C.T.,11
ADOOR,KERALA,M,29
ADYAR,KARNATAKA,C.T.,7
ADRA,WEST BENGAL,C.T.,14
AFZALPUR,KARNATAKA,T.P.,27
AKOT,MAHARASHTRA,M.CL.,92
ALIPURDUAR,WEST BENGAL,M,65
ALIRAJPUR,MADHYA PRADESH,M,65
ALMORA,UTTARAKHAND,N.P.P,34
ALUVA,KERALA,M,24
AMALAPURAM,ANDHRA PRADESH,M,53
AMALNER,MAHARASHTRA,M.CL.,95
AMARAVATHI,ANDHRA PRADESH,G.P.,13
AMBEJOGAI,MAHARASHTRA,M.CL.,73
ANAKAPALLE,ANDHRA PRADESH,M,86
ANGUL,ODISHA,M,44
ANJAR,GUJARAT,M,87
ANJANGAON,MAHARASHTRA,M.CL,56
ANKLESHWAR,GUJARAT,M,73
ARAKKONAM,TAMIL NADU,M,78
ARARIA,BIHAR,N.P.,79
ARAMBAGH,WEST BENGAL,M,66
ARSIKERE,KARNATAKA,T.M.C.,51
ARUPPUKKOTTAI,TAMIL NADU,M,87
ARVI,MAHARASHTRA,M.CL,42
ARWAL,BIHAR,N.P.,51
ASARGANJ,BIHAR,C.T.,6
ASHOK NAGAR,MADHYA PRADESH,M,81
ATHNI,KARNATAKA,T.M.C.,45
ATTINGAL,KERALA,M,37
BADRINATH,UTTARAKHAND,N.P,2
BAGESHWAR,UTTARAKHAND,N.P.P,9
BAJPUR,UTTARAKHAND,N.P.P,25
BALAGHAT,MADHYA PRADESH,M,84
BALANGIR,ODISHA,M,98
BANAGANIPALLI,ANDHRA PRADESH,M,30
BAPATLA,ANDHRA PRADESH,M,70
BARAULI,BIHAR,N.P.P.,41
BARBIL,ODISHA,M,66
BARGARH,ODISHA,M,80
BARBIGHA,BIHAR,NP,50
BARKOT,UTTARAKHAND,N.P,6
BARPETA,ASSAM,M.B,42
BELLAMPALLE,TELANGANA,M,55
BELONIA,TRIPURA,M.CL,19
BHABUA,BIHAR,NP,50
BHADRACHALAM,TELANGANA,C.T,50
BHAINSA,TELANGANA,M,49
BHAISEENA,RAJASTHAN,G.P,3
BHATAPARA,CHHATTISGARH,M,57
BHAWANIPATNA,ODISHA,M,69
BHEEMUNIPATNAM,ANDHRA PRADESH,M,52
BHIMTAL,UTTARAKHAND,N.P,7
BHONGIR,TELANGANA,M,53
BHOWALI,UTTARAKHAND,N.P.P,6
BHUSAWAR,RAJASTHAN,M,19
BOBBILI,ANDHRA PRADESH,M,56
BODHAN,TELANGANA,M,77
BONGAIGAON CITY,ASSAM,MB,67
BYASANAGAR,ODISHA,M,48
BAGHA KUSMAR,BIHAR,C.T.,11
CHAIBASA,JHARKHAND,N.P.P,69
CHARKHI DADRI,HARYANA,N.P.P,49
CHATRA,JHARKHAND,M,49
CHALAKUDY,KERALA,M,49
CHAMBA,UTTARAKHAND,N.P,27
CHAMOLI GOPESHWAR,UTTARAKHAND,N.P.P,21
CHAMPAWAT,UTTARAKHAND,N.P,4.801
CHANGANASSERY,KERALA,M,47
CHENGANNUR,KERALA,M,23
COOCH BEHAR,WEST BENGAL,M,79
CHERTHALA,KERALA,M,45
CHHAPRA,GUJARAT,C.T,10
CHIDAMBARAM,TAMIL NADU,T,62
CHIRALA,ANDHRA PRADESH,M,87
CHIRKUNDA,JHARKHAND,NP,45
CHIRMIRI,CHHATTISGARH,M.CORP.,69
DALLI-RAJHARA,CHHATTISGARH,M,44
MEDININAGAR (DALTONGANJ),JHARKHAND,NAGAR PARISHAD,78
DEGANA,RAJASTHAN,M,34
DEVPRAYAG,UTTARAKHAND,N.P,2
DHAMTARI,CHHATTISGARH,M,82
DHARCHULA,UTTARAKHAND,N.P,7
DHARMANAGAR,TRIPURA,M.CL.,30
DHENKANAL,ODISHA,M,67
DHUBRI,ASSAM,M.B,63
DHURI,PUNJAB,M.CL,55
DIDIHAT,UTTARAKHAND,N.P,6
DINESHPUR,UTTARAKHAND,N.P,11
DIPHU,ASSAM,T.C,61
DOGADDA,UTTARAKHAND,N.P.P,2
DOIWALA,UTTARAKHAND,N.P,8
DUMKA,JHARKHAND,N.A.C,47
DUMRAON,BIHAR,N.A.C,53
DWARAHAT,UTTARAKHAND,N.P,2
ELLENABAD,HARYANA,M.C.,32
FARIDKOT,PUNJAB,M.CL,85
FAROOQNAGAR,TELANGANA,C.T.,45
FATEHABAD,HARYANA,M CL,70
FAZILKA,PUNJAB,M.CL,76
FORBESGANJ,BIHAR,M,50
FIROZPUR CANTT.,PUNJAB,C.B,53
FAIZABAD,UTTAR PRADESH,M.B.,32
GADARPUR,UTTARAKHAND,N.P.P,19
GADWAL,TELANGANA,M,96
GANGARAMPUR,WEST BENGAL,M,56
GANGOTRI,UTTARAKHAND,N.P,110
GAVARAVARAM,ANDHRA PRADESH,C.T,10
GOALPARA,ASSAM,M.B,53
GOBICHETTIPALAYAM,TAMIL NADU,M,59
GOBINDGARH,PUNJAB,M.CL.,73
GOCHAR,UTTARAKHAND,N.P,8
GOHANA,HARYANA,M.C,65
